method,ARI,NMI,VI,Bcubed_P,Bcubed_R,Bcubed_F,Homogeneity,Completeness,Vmeasure,PairF_P,PairF_R,PairF_F
hclust_avg,0.0015,0.3711,8.8195,0.0187,0.5727,0.0363,0.2491,0.7273,0.3711,0.0013,0.4079,0.0026
hclust_ward,8e-4,0.3473,8.7954,0.019,0.6899,0.037,0.224,0.7724,0.3473,0.001,0.5675,0.0019
pam,0.0015,0.3711,8.8195,0.0187,0.5727,0.0363,0.2491,0.7273,0.3711,0.0013,0.4079,0.0026
threshold_cc,0.0227,0.7782,4.2129,0.3336,0.5189,0.4061,0.7073,0.8648,0.7782,0.0123,0.3328,0.0238
louvain,0.0227,0.7782,4.2129,0.3336,0.5189,0.4061,0.7073,0.8648,0.7782,0.0123,0.3328,0.0238
leiden,0,0.9136,1.9748000000000001,1,0.2706,0.4259,1,0.841,0.9136,0,0,0
label_prop,0.0227,0.7782,4.2129,0.3336,0.5189,0.4061,0.7073,0.8648,0.7782,0.0123,0.3328,0.0238
gc,0,0,10.4462,8e-4,1,0.0015,0,1,0,6e-4,1,0.0012
final,0.0227,0.7782,4.2129,0.3336,0.5189,0.4061,0.7073,0.8648,0.7782,0.0123,0.3328,0.0238
