method,ARI,NMI,VI,Bcubed_P,Bcubed_R,Bcubed_F,Homogeneity,Completeness,Vmeasure,PairF_P,PairF_R,PairF_F
hclust_avg,0,0,9.7814,0.0011,1,0.0023,0,1,0,6e-4,1,0.0011
hclust_ward,0,0,9.7814,0.0011,1,0.0023,0,1,0,6e-4,1,0.0011
pam,0,0,9.7814,0.0011,1,0.0023,0,1,0,6e-4,1,0.0011
threshold_cc,0.1948,0.9555,0.9076,0.9909,0.5597,0.7153,0.9973,0.9172,0.9555,0.533,0.1193,0.195
louvain,0.1331,0.947,1.073,0.9328,0.5597,0.6996,0.9803,0.9159,0.947,0.1515,0.1193,0.1335
leiden,0,0.9514,1,1,0.5,0.6667,1,0.9072,0.9514,0,0,0
label_prop,0.1331,0.947,1.073,0.9328,0.5597,0.6996,0.9803,0.9159,0.947,0.1515,0.1193,0.1335
gc,0,0,9.7814,0.0011,1,0.0023,0,1,0,6e-4,1,0.0011
final,0.1948,0.9555,0.9076,0.9909,0.5597,0.7153,0.9973,0.9172,0.9555,0.533,0.1193,0.195
